Speed_Diff,Attack_Diff,Defense_Diff,Sp. Atk_Diff,Sp. Def_Diff,HP_Diff,Type_Win_Score,p1_win
-19,-6,10,-15,10,-20,-1.0,0
0,-39,-18,18,39,0,1.0,0
0,-35,10,-45,10,-20,0.0,0
-28,-80,-50,10,-50,-37,0.0,0
50,50,-105,105,-160,50,0.0,1
5,-3,-100,7,-100,-10,0.0,1
-25,0,10,-45,-50,-25,0.0,0
-55,-20,-70,-65,-85,-80,0.0,0
-29,12,28,-23,-28,0,0.0,0
-5,-25,-10,5,-20,5,-1.0,0
-25,10,-25,-40,-25,10,0.0,0
78,99,5,17,25,53,0.0,1
-30,-90,-35,-60,-65,-50,0.0,0
25,-15,15,15,-10,-25,-1.0,1
5,70,100,1,70,30,0.0,1
-21,-32,11,3,12,-27,0.0,0
-55,0,5,-30,-5,40,-1.0,0
0,-60,-20,-20,15,-55,0.0,0
62,95,-62,90,-80,20,0.0,1
41,45,0,1,-25,-21,0.0,1
-20,-59,-32,21,6,-1,0.0,0
0,-8,-15,-35,-30,26,0.0,0
-40,-15,-40,-80,-5,-5,0.0,0
20,10,20,-100,-60,35,0.0,1
-73,-40,-10,-5,-10,-10,0.0,0
20,-60,10,-30,54,6,0.0,1
-44,-31,15,14,-5,-25,0.0,0
-26,-11,26,8,0,-4,1.0,0
40,-20,16,-55,-9,-5,0.0,1
5,61,36,-35,-33,-16,0.0,1
-42,65,-40,-35,-50,-3,-1.0,0
-40,-50,-10,5,60,-5,0.0,0
-100,-15,-25,35,5,-10,0.0,0
36,25,47,65,32,5,0.0,1
38,-50,-63,0,-25,-30,0.0,0
-32,-81,-82,-3,-38,11,1.0,0
-12,45,29,5,29,12,0.0,0
2,-20,20,-75,-30,-22,0.0,1
-45,-30,16,20,51,33,0.0,0
-23,-10,4,-30,4,10,0.0,0
-22,-10,15,-29,-5,15,0.0,0
12,-11,15,12,35,44,-1.5,1
-50,-43,-2,-55,-15,-25,1.0,1
-20,-11,-53,-41,-71,-34,1.5,0
-29,-10,-10,5,-20,4,0.0,0
40,6,-26,-31,-14,-35,0.0,1
